Data point (n), Voltage (V) 
4.824146271,5.33203125
4.834916353,5.3203125
4.845507622,5.23828125
4.856096268,5.302734375
4.866719961,5.3203125
4.87731266,5.33203125
4.887876987,5.323242188
4.898442268,5.2734375
4.909023523,5.255859375
4.927919149,5.33203125
4.938555717,5.323242188
4.949198484,5.323242188
4.959764957,5.314453125
4.970315933,5.2734375
4.980947971,5.244140625
4.991526365,5.2265625
5.002113819,5.2265625
5.01269865,5.247070313
5.023417711,5.311523438
5.036356688,5.26171875
5.04722929,5.323242188
5.058198929,5.2734375
5.06882,5.23828125
5.079440594,5.311523438
5.090092182,5.33203125
5.100828409,5.358398438
5.112970352,5.247070313
5.13880372,5.2734375
5.149478674,5.311523438
5.160093546,5.323242188
5.170784473,5.33203125
5.181408405,5.326171875
5.192007303,5.33203125
5.202719212,5.23828125
5.213327169,5.34375
5.240158319,5.314453125
5.250809193,5.323242188
5.261379004,5.23828125
5.271937609,5.349609375
5.282536983,5.23828125
5.293087006,5.23828125
5.303654432,5.323242188
5.314226627,5.358398438
5.325348377,5.2734375
5.346241474,5.317382813
5.356930733,5.33203125
5.367546558,5.2265625
5.37816906,5.302734375
5.388748646,5.23828125
5.399331808,5.317382813
5.409906149,5.33203125
5.420506477,5.291015625
5.447820902,5.305664063
5.458445311,5.2265625
5.469025135,5.2265625
5.479619026,5.23828125
5.490164518,5.23828125
5.500766993,5.25
5.511338711,5.276367188
5.521907806,5.33203125
5.532476187,5.3203125
5.552283287,5.323242188
5.563057899,5.229492188
5.573830128,5.296875
5.584460974,5.296875
5.595039606,5.33203125
5.605675697,5.33203125
5.61924243,5.352539063
5.630241871,5.247070313
5.656481028,5.296875
5.667290688,5.2265625
5.67794323,5.3203125
5.688594103,5.302734375
5.69925046,5.302734375
5.709928036,5.229492188
5.720508337,5.23828125
5.731261015,5.2734375
5.741981983,5.276367188
5.762235165,5.23828125
5.772877455,5.323242188
5.783533096,5.33203125
5.794175625,5.361328125
5.804969311,3.881835938
5.81557703,2.780273438
5.826236248,2.80078125
5.836956024,2.856445313
5.847753763,2.830078125
5.866339684,2.8125
5.877062082,2.80078125
5.887670755,2.756835938
5.898240805,2.806640625
5.908888578,2.8359375
5.919482708,2.8359375
5.930086851,2.783203125
5.940871716,2.8359375
5.952654123,2.838867188
5.970160723,2.750976563
5.980849981,2.765625
5.99144268,2.750976563
6.002038717,2.82421875
6.012633801,2.82421875
6.023185015,2.830078125
6.033755064,2.853515625
6.044442892,2.8125
6.072403908,2.84765625
6.083270311,2.750976563
6.0938797,2.783203125
6.104635239,2.82421875
6.115232706,2.762695313
6.125810623,2.8359375
6.136442184,2.838867188
6.147051573,2.809570313
6.157613277,2.818359375
6.176286936,2.8359375
6.186943293,2.806640625
6.19751215,2.818359375
6.208102703,2.786132813
6.218707561,2.82421875
6.229295015,2.8359375
6.243060112,2.806640625
6.253920317,2.856445313
6.280123949,2.806640625
6.290870667,2.838867188
6.30150342,2.8359375
6.312150955,2.80078125
6.32273531,2.838867188
6.33336091,2.8359375
6.343921423,2.82421875
6.354508877,2.771484375
6.365118027,2.762695313
6.383993149,2.762695313
6.394613981,2.8359375
6.405221701,2.827148438
6.415785789,2.80078125
6.426365614,2.783203125
6.436970949,2.830078125
6.451077223,2.838867188
6.461962223,2.77734375
6.488152504,2.830078125
6.498812675,2.806640625
6.50941515,2.748046875
6.519972563,2.80078125
6.530588865,2.82421875
6.541249514,2.838867188
6.552237749,2.82421875
6.562906504,2.768554688
6.573553324,2.75390625
6.592375278,2.80078125
6.60302949,2.80078125
6.613666534,2.759765625
6.624248505,2.750976563
6.634845734,2.809570313
6.645394087,2.8359375
6.655935049,2.750976563
6.666526318,2.739257813
6.677278996,2.762695313
6.698232889,2.786132813
6.70895052,2.809570313
6.7195611,2.797851563
6.730208158,2.8359375
6.740782499,2.8359375
6.751374245,2.762695313
6.761984587,2.783203125
6.772665501,2.765625
6.800119877,2.77734375
6.810869217,2.838867188
6.821460962,2.82421875
6.832071781,2.82421875
6.842727423,2.82421875
6.853283405,2.774414063
6.867063999,2.82421875
6.877967834,2.82421875
6.904138803,2.750976563
6.914987326,4.025390625
6.925572634,5.0390625
6.936187744,5.296875
6.946749687,5.33203125
6.957308292,5.2265625
6.967858553,5.229492188
6.978458881,5.33203125
6.989062548,5.3203125
7.008138895,5.2265625
7.018894434,5.3203125
7.029516935,5.323242188
7.04016304,5.296875
7.051149845,5.23828125
7.061770439,5.35546875
7.075428486,5.349609375
7.086262226,5.361328125
7.09753108,5.329101563
7.117438793,5.311523438
7.128286362,5.323242188
7.138896465,5.33203125
7.149461985,5.323242188
7.160053253,5.288085938
7.170878887,5.279296875
7.181601286,5.26171875
7.192726374,5.302734375
7.217621326,5.349609375
7.229093075,5.323242188
7.239512444,5.33203125
7.249920368,5.349609375
7.26055932,5.3203125
7.271123409,5.2734375
7.283514261,5.305664063
7.294469833,5.361328125
7.320843935,5.35546875
7.331581354,5.323242188
7.34216094,5.23828125
7.352725744,5.276367188
7.363340855,5.329101563
7.373920679,5.3203125
7.384527683,5.28515625
7.395173311,5.28515625
7.405735493,5.23828125
7.424051762,5.23828125
7.434802532,5.33203125
7.445371628,5.23828125
7.455924749,5.23828125
7.466471672,5.326171875
7.47704196,5.326171875
7.487581968,5.323242188
7.498132706,5.2734375
7.509498596,5.346679688
7.530277252,5.326171875
7.541222334,5.2265625
7.552290916,5.3203125
7.563028812,5.276367188
7.573819399,5.229492188
7.58447361,5.282226563
7.595246553,5.247070313
7.60590291,5.358398438
7.616773605,5.25
7.635858059,5.3203125
7.646529436,5.23828125
7.657307863,5.291015625
7.667865038,5.314453125
7.678454638,5.349609375
7.689013481,5.323242188
7.699639082,5.2734375
7.710453272,5.317382813
7.736002684,5.25
7.746697426,5.276367188
7.756998539,5.296875
7.767254829,5.247070313
7.777524471,5.3203125
7.787854433,5.34375
7.802533627,5.35546875
7.812955618,5.2734375
7.823310375,5.267578125
7.838842869,5.305664063
7.849337101,5.2734375
7.860027313,5.323242188
7.870611668,5.3203125
7.881221294,5.276367188
7.8917768,5.296875
7.902352333,5.305664063
7.912978411,5.311523438
7.923806906,5.352539063
7.942483425,5.323242188
7.953096628,5.296875
7.963692665,5.33203125
7.974371672,5.276367188
7.984990597,5.3203125
7.995583534,5.33203125
8.007300615,5.296875
8.020922422,3.471679688
8.031718731,2.756835938
8.047326565,2.7890625
8.058261633,2.841796875
8.068962097,2.7890625
8.079626799,2.80078125
8.090232611,2.750976563
8.100834131,2.84765625
8.111779451,2.8359375
8.122579813,2.75390625
8.133469105,2.853515625
8.148896456,2.809570313
8.159591913,2.838867188
8.170179367,2.8359375
8.18078208,2.750976563
8.191339016,2.82421875
8.201918125,2.783203125
8.21260643,2.774414063
8.223230839,2.8359375
8.233880758,2.8125
8.2519238,2.830078125
8.262584686,2.8359375
8.273180008,2.80078125
8.283786535,2.8359375
8.294398785,2.84765625
8.305021048,2.750976563
8.319023371,2.75390625
8.329948187,2.765625
8.356081247,2.809570313
8.366826296,2.80078125
8.377532482,2.8359375
8.388123035,2.838867188
8.398739338,2.82421875
8.409315348,2.739257813
8.419915199,2.762695313
8.430530548,2.750976563
8.441089869,2.84765625
8.459889412,2.818359375
8.470517874,2.7890625
8.481123924,2.762695313
8.491673708,2.82421875
8.502228498,2.765625
8.512783766,2.8359375
8.523376942,2.8359375
8.53396368,2.827148438
8.54452014,2.830078125
8.555087566,2.768554688
8.566251278,2.809570313
8.576984167,2.809570313
8.587566614,2.8359375
8.598110914,2.841796875
8.608697653,2.8359375
8.619316578,2.768554688
8.630010843,2.806640625
8.640878201,2.765625
8.651729822,2.756835938
8.662430286,2.8359375
8.675375223,2.82421875
8.686087132,2.786132813
8.696736336,2.838867188
8.707617521,2.8359375
8.71824646,2.8359375
8.728884935,2.809570313
8.739498138,2.8359375
8.750115633,2.84765625
8.772234678,2.8359375
8.783043385,2.82421875
8.793648243,2.739257813
8.804198742,2.82421875
8.814773798,2.809570313
8.825333118,2.750976563
8.835915565,2.82421875
8.846503258,2.8359375
8.857094049,2.850585938
8.875941992,2.739257813
8.886553288,2.80078125
8.89713788,2.827148438
8.9077003,2.803710938
8.918281078,2.756835938
8.928877592,2.838867188
8.939436436,2.82421875
8.950002909,2.8359375
8.96056819,2.853515625
8.979947567,2.818359375
8.990591049,2.762695313
9.001192808,2.844726563
9.011765957,2.739257813
9.022347927,2.818359375
9.032969713,2.838867188
9.043694258,2.82421875
9.054792881,2.8359375
9.065630198,2.774414063
9.086969137,2.818359375
9.097635269,2.84765625
9.108304501,2.8359375
9.11915946,3.328125
9.129839897,4.385742188
9.140460968,5.387695313
9.15109086,5.2265625
9.161720276,5.247070313
9.172655821,5.25
9.191071033,5.244140625
9.201744556,5.3203125
9.212332964,5.364257813
9.2229743,5.296875
9.233609438,5.323242188
9.244178057,5.314453125
9.254867554,5.349609375
9.265509129,5.323242188
9.276251793,5.358398438
9.29454565,5.23828125
9.305224895,5.35546875
9.315797091,5.296875
9.326471329,5.2265625
9.337050915,5.349609375
9.347607136,5.323242188
9.358166933,5.33203125
9.368759394,5.323242188
9.379576683,5.247070313
9.398141861,5.3203125
9.408847332,5.25
9.419449568,5.33203125
9.430071592,5.302734375
9.44064188,5.288085938
9.451190472,5.35546875
9.461760998,5.314453125
9.4723351,5.33203125
9.483022213,5.247070313
9.502092838,5.25
9.512738705,5.270507813
9.523347139,5.314453125
9.53398037,5.317382813
9.544680357,5.244140625
9.55572176,5.329101563
9.56630969,5.3203125
9.577413797,5.323242188
9.604382992,5.323242188
9.615066767,5.282226563
9.625671387,5.244140625
9.636314869,5.2265625
9.646991968,5.25
9.65758276,5.299804688
9.668141365,5.329101563
9.678783417,5.2265625
9.689343691,5.2734375
9.708101749,5.364257813
9.718897343,5.2265625
9.729559422,5.314453125
9.740189791,5.3203125
9.750869274,5.323242188
9.761463881,5.323242188
9.775136471,5.329101563
9.786017179,5.2265625
9.796719074,5.364257813
9.812403679,5.302734375
9.823155165,5.323242188
9.833983421,5.23828125
9.84457922,5.33203125
9.855154991,5.296875
9.865702629,5.317382813
9.876318216,5.33203125
9.886902332,5.326171875
9.897496939,5.361328125
9.91627121,5.302734375
9.926960707,5.33203125
9.937538624,5.276367188
9.948098183,5.329101563
9.958712578,5.329101563
9.96927619,5.323242188
9.979912996,5.349609375
9.990561008,5.329101563
10.00149584,5.364257813
10.02234244,5.23828125
10.03312182,5.2734375
10.04396152,5.25
10.05528998,5.296875
10.0660336,5.291015625
10.07667565,5.23828125
10.08735037,5.3203125
10.09805346,5.25
10.10884118,5.276367188
10.12517309,5.33203125
10.13583279,5.302734375
10.14641261,5.326171875
10.15709925,5.3203125
10.16765571,5.3203125
10.17822599,5.296875
10.18880057,5.337890625
10.1993897,5.2265625
10.20999527,5.305664063
10.22824121,3.559570313
10.23895431,2.80078125
10.24955225,2.75390625
10.26017618,2.791992188
10.27081919,2.82421875
10.28142238,2.838867188
10.2920506,2.7890625
10.30277991,2.750976563
10.3133738,2.780273438
10.3320384,2.75390625
10.34276986,2.856445313
10.35338807,2.8359375
10.36396098,2.838867188
10.37457228,2.75390625
10.38530636,2.768554688
10.39589858,2.75390625
10.40653229,2.82421875
10.41711617,2.853515625
10.43590832,2.762695313
10.44654512,2.783203125
10.45719099,2.809570313
10.46780014,2.80078125
10.47841358,2.791992188
10.48902225,2.8125
10.49960279,2.8359375
10.51019454,2.797851563
10.5207777,2.75390625
10.53988552,2.756835938
10.55120254,2.8359375
10.56195498,2.82421875
10.5725646,2.797851563
10.5831902,2.762695313
10.59376693,2.762695313
10.60431862,2.786132813
10.61497855,2.750976563
10.62597489,2.850585938
10.64668989,2.80078125
10.65736389,2.774414063
10.66794181,2.8125
10.67855024,2.82421875
10.68912482,2.780273438
10.69969034,2.77734375
10.7103467,2.818359375
10.72094846,2.774414063
10.73172545,2.739257813
10.75047469,2.8359375
10.76113176,2.838867188
10.77172256,2.739257813
10.78244758,2.771484375
10.79321241,2.827148438
10.80378366,2.8359375
10.81437922,2.809570313
10.82504725,2.82421875
10.83582258,2.783203125
10.85433841,2.8359375
10.86502123,2.803710938
10.87559938,2.853515625
10.88619232,2.750976563
10.89677286,2.80078125
10.90732694,2.82421875
10.91787791,2.762695313
10.92859912,2.806640625
10.93932986,2.77734375
10.95808101,2.80078125
10.96872735,2.8359375
10.97933817,2.794921875
10.9898932,2.82421875
11.00043702,2.8359375
11.01099181,2.762695313
11.0215621,2.791992188
11.03220201,2.7890625
11.06008029,2.797851563
11.07085633,2.765625
11.08151293,2.838867188
11.09214067,2.791992188
11.10279417,2.794921875
11.11337495,2.853515625
11.12418437,2.750976563
11.13488817,2.739257813
11.1454792,2.762695313
11.16415596,2.80078125
11.17488647,2.841796875
11.18561935,2.809570313
11.19621682,2.82421875
11.20684147,2.750976563
11.21740818,2.774414063
11.22800088,2.856445313
11.2385993,2.768554688
11.24920511,2.771484375
11.26811981,2.838867188
11.27881885,2.756835938
11.28927302,2.774414063
11.30153084,2.762695313
11.31400442,2.853515625
11.32562995,3.260742188
11.33640742,4.661132813
11.34917188,5.247070313
11.37484789,5.255859375
11.38607383,5.358398438
11.39652109,5.33203125
11.40725994,5.323242188
11.41786361,5.323242188
11.42850208,5.2265625
11.43955851,5.33203125
11.45042682,5.323242188
11.47678018,5.2265625
11.48739123,5.349609375
11.49796939,5.305664063
11.50858259,5.349609375
11.51914334,5.296875
11.52977204,5.323242188
11.54064298,5.23828125
11.55182195,5.323242188
11.56284094,5.323242188
11.58342528,5.3203125
11.59416223,5.296875
11.60479617,5.23828125
11.61543131,5.25
11.62608981,5.323242188
11.63667536,5.364257813
11.64759803,5.305664063
11.65826511,5.247070313
11.66905475,5.346679688
11.68468761,5.23828125
11.69533396,5.23828125
11.70601249,5.33203125
11.71662045,5.3203125
11.72724795,5.33203125
11.73780847,5.23828125
11.74839449,5.3203125
11.75897574,5.346679688
11.76955819,5.296875
11.78815436,5.276367188
11.79896402,5.3203125
11.80954862,5.323242188
11.82011843,5.314453125
11.83081317,5.302734375
11.84139419,5.3203125
